COURSE_CODE	PREREQ_STRING	TOKENS	STATUS
BIOMG 4810	BIOMG 2800, BIOEE 1780, or equivalents.	COURSE(BIOMG 2800) OR COURSE(BIOEE 1780)	OK
BIOMG 4870	BIOMG 2800.	COURSE(BIOMG 2800)	OK
BIOMG 4980	previous enrollment in course to be taught or equivalent.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
BIOMG 4981	BIOMG 3300, or BIOMG 3350, or BIOMG 3310 and BIOMG 3320.	COURSE(BIOMG 3300) OR COURSE(BIOMG 3350) OR LPAREN COURSE(BIOMG 3310) AND COURSE(BIOMG 3320) RPAREN	OK (manually corrected)
BIOMG 4982	BIOMG 4981.	COURSE(BIOMG 4981)	OK
BIOMI 2100	BIOG 1140  or BIOG 1500  or BIOMG 1350, or equivalent college level course that addresses DNA, RNA, and protein synthesis.	COURSE(BIOG 1140) OR COURSE(BIOG 1500) OR COURSE(BIOMG 1350) OR COURSE(Special requirement: college level biology course)	OK (manually corrected)
BIOMI 2500	the equivalent of two semesters of majors-level biology and one semester general chemistry.	COURSE(Special requirement: the equivalent of two semesters of majors-level biology) AND COURSE(Special requirement: one semester general chemistry)	OK
BIOMI 2900	one semester of introductory biology (or AP biology) and one semester of chemistry, (or AP Chemistry).	LPAREN COURSE(Special requirement: one semester introductory biology) OR COURSE(Special requirement: AP biology) RPAREN AND LPAREN COURSE(Special requirement: one semester chemistry) OR COURSE(Special requirement: AP Chemistry) RPAREN	OK (manually corrected)
BIOMI 3210	BIOMI 2900 or permission of instructor.	LPAREN COURSE(BIOMI 2900) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOMI 3500	BIOEE 1610, BIOEE 1780.	COURSE(BIOEE 1610) AND COURSE(BIOEE 1780)	OK
BIOMI 3940	BIOMI 2900 and BIOMI 2911.	COURSE(BIOMI 2900) AND COURSE(BIOMI 2911)	OK
BIOMI 4090	BIOMI 2900 or permission of instructor.	LPAREN COURSE(BIOMI 2900) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOMI 4850	BIOMG 2800.	COURSE(BIOMG 2800)	OK
BIOMI 4980	previous enrollment in course to be taught or equivalent.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
BIOMI 5940	BIOMI 2900 and BIOMI 2911.	COURSE(BIOMI 2900) AND COURSE(BIOMI 2911)	OK
BIOMS 3110	BIOG 1500 and BIOG 1440 or BIOG 1445 or one year of college biology, one year of chemistry and mathematics or equivalent AP credit.	COURSE(BIOG 1500) AND LPAREN COURSE(BIOG 1440) OR COURSE(BIOG 1445) OR COURSE(Special requirement: one year of introductory biology) RPAREN	OK (manually corrected)
BIOMS 3190	Prerequisite or corequisite: BIOAP 3110.	COURSE(BIOAP 3110)	OK
BIOMS 4090	BIOMI 2900 or permission of instructor.	LPAREN COURSE(BIOMI 2900) RPAREN OR COURSE(Permission: permission of instructor)	OK
BIOMS 4980	previous enrollment in course to be taught or equivalent.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
BIONB 2210	two majors-level biology courses.	COURSE(Special requirement: two majors-level biology courses)	OK
BIONB 3240	PSYCH 2230 or BIONB 2220.	COURSE(PSYCH 2230) OR COURSE(BIONB 2220)	OK
BIONB 3920	BIONB 2220 or equivalent course in neurobiology.	COURSE(BIONB 2220) OR COURSE(Special requirement: course in neurobiology)	OK
BIONB 3950	BIONB 2220 or BIOMG 3300 or BIOMG 3320.	COURSE(BIONB 2220) OR COURSE(BIOMG 3300) OR COURSE(BIOMG 3320)	OK
BIONB 4980	previous enrollment in course to be taught or equivalent.	COURSE(Special requirement: previous enrollment in course to be taught)	OK
BME 2110	CHEM 2090, MATH 1920, and BIOG 1350 or BIOG 1440.	COURSE(CHEM 2090) AND COURSE(MATH 1920) AND LPAREN COURSE(BIOG 1350) OR COURSE(BIOG 1440) RPAREN	OK (manually corrected)
BME 3010	BIOMG 1350; MATH 2930; BME 2010, or BIOG 1440 or BIOG 1445.	COURSE(BIOMG 1350) AND COURSE(MATH 2930) AND LPAREN COURSE(BME 2010) OR COURSE(BIOG 1440) OR COURSE(BIOG 1445) RPAREN	OK (manually corrected)
BME 3030	MATH 2930 and PHYS 2213 or equivalent. Corequisite: MATH 2940	COURSE(MATH 2930) AND COURSE(PHYS 2213)	OK
BME 4010	ENGRD 2020, MATH 2930, BIOMG 1350 and BME 2010 or BIOG 1440.	COURSE(ENGRD 2020) AND COURSE(MATH 2930) AND COURSE(BIOMG 1350) AND LPAREN COURSE(BME 2010) OR COURSE(BIOG 1440) RPAREN	OK (manually corrected)
BME 4080	BME 3030, BME 4190 or BME 4390 or BME 4490.	COURSE(BME 3030) AND LPAREN COURSE(BME 4190) OR COURSE(BME 4390) OR COURSE(BME 4490) RPAREN	OK (manually corrected)
BME 4190	BME 3010, BME 3020, BME 3110 or BME 3210.	COURSE(BME 3010) AND COURSE(BME 3020) AND LPAREN COURSE(BME 3110) OR COURSE(BME 3210) RPAREN	OK (manually corrected)
BME 4390	engineering common math/physics and CS 1112.	COURSE(Special requirement: engineering common math/physics) AND COURSE(CS 1112)	OK
BME 4490	BME 3410 or BME 3210 or permission of instructor.	LPAREN COURSE(BME 3410) OR COURSE(BME 3210) RPAREN OR COURSE(Permission: permission of instructor)	OK
BME 4790	CS 1110, or equivalent and ENGRD 2020, BTRY 3010, BTRY 3020, or ILRST 2110, or equivalent.	COURSE(CS 1110) AND LPAREN COURSE(ENGRD 2020) OR COURSE(BTRY 3010) OR COURSE(BTRY 3020) OR COURSE(ILRST 2110) RPAREN	OK (manually corrected)
BME 4901	BME 4900 and acceptance in the BME honors program.	COURSE(BME 4900) AND COURSE(Special requirement: acceptance in the BME honors program)	OK
BME 5110	BME 3010 and BME 3020, or equivalent.	COURSE(BME 3010) AND COURSE(BME 3020)	OK
BME 5920	BME 5910.	COURSE(BME 5910)	OK
BME 5921	BME 5911. Corequisite: BME 5500.	COURSE(BME 5911)	OK
BTRY 3010	MATH 1110 or equivalent.	COURSE(MATH 1110)	OK
BTRY 3080	STSCI 2150 or STSCI 2200, MATH 1120 and MATH 2220 or their equivalents.	LPAREN COURSE(STSCI 2150) OR COURSE(STSCI 2200) RPAREN AND COURSE(MATH 1120) AND COURSE(MATH 2220)	OK (manually corrected)
BTRY 3090	BTRY 3080 or permission from the instructor.	COURSE(BTRY 3080) OR COURSE(Special requirement: permission from the instructor)	OK
BTRY 4030	STSCI 2150 or STSCI 2200/BTRY 3010, BTRY 3080, MATH 1920, MATH 2210 or their equivalents, STSCI 3200/BTRY 3020 or BTRY 6020.	LPAREN COURSE(STSCI 2150) OR COURSE(STSCI 2200) OR COURSE(BTRY 3010) RPAREN AND COURSE(BTRY 3080) AND COURSE(MATH 1920) AND COURSE(MATH 2210) AND LPAREN COURSE(STSCI 3200) OR COURSE(BTRY 3020) OR COURSE(BTRY 6020) RPAREN	OK (manually corrected)
BTRY 4090	BTRY 3080 or MATH 4710 or equivalent and BTRY 3010 or equivalent.	LPAREN COURSE(BTRY 3080) OR COURSE(MATH 4710) RPAREN AND COURSE(BTRY 3010)	OK (manually corrected)
BTRY 4110	BTRY 3020, BTRY 6020, or equivalent with BTRY 3080 or MATH 4710 also highly recommended.	COURSE(BTRY 3020) OR COURSE(BTRY 6020)	OK (manually corrected)
BTRY 5010	MATH 1110 or equivalent.	COURSE(MATH 1110)	OK
BTRY 5090	BTRY 3080 or MATH 4710, or equivalent and STSCI 2200 or equivalent.	LPAREN COURSE(BTRY 3080) OR COURSE(MATH 4710) RPAREN AND COURSE(STSCI 2200)	OK (manually corrected)
BURM 2201	BURM 1122.	COURSE(BURM 1122)	OK
BURM 3301	BURM 2202 or permission of instructor.	LPAREN COURSE(BURM 2202) RPAREN OR COURSE(Permission: permission of instructor)	OK
BURM 3309	BURM 3302 or permission of instructor.	LPAREN COURSE(BURM 3302) RPAREN OR COURSE(Permission: permission of instructor)	OK
CAPS 3307	Advanced reading knowledge of classical and modern Chinese required.	COURSE(Special requirement: Advanced reading knowledge of classical and modern Chinese)	OK (manually corrected)
CAPS 4020	CAPS 4010.	COURSE(CAPS 4010)	OK
CEE 3040	MATH 1910 and MATH 1920, or equivalents.	COURSE(MATH 1910) AND COURSE(MATH 1920)	OK
CEE 3310	MATH 2930, or permission of instructor.	LPAREN COURSE(MATH 2930) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 3410	ENGRD 2020 or permission of instructor.	LPAREN COURSE(ENGRD 2020) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 4090	adequate training for work proposed.	COURSE(Special requirement: adequate training for work proposed)	OK
CEE 4200	CS 1110 or CS 1112 and CEE 3040 or ENGRD 2700.	LPAREN COURSE(CS 1110) OR COURSE(CS 1112) RPAREN AND LPAREN COURSE(CEE 3040) OR COURSE(ENGRD 2700) RPAREN	OK (manually corrected)
CEE 4210	BEE 3310, CEE 3310, CHEME 3230, or by permission of the instructor.	COURSE(BEE 3310) OR COURSE(CEE 3310) OR COURSE(CHEME 3230) OR COURSE(Special requirement: by permission of the instructor)	OK
CEE 4510	CHEM 2090 and CHEM 1570, or permission of instructor.	LPAREN COURSE(CHEM 2090) AND COURSE(CHEM 1570) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 4535	CHEM 2090 or equivalent for undergraduates.	COURSE(CHEM 2090)	OK (manually corrected)
CEE 4560	CEE 3510.	COURSE(CEE 3510)	OK
CEE 4570	CEE 3510 or permission of instructor.	LPAREN COURSE(CEE 3510) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 4640	CEE 3040 or ENGRD 2700, and CEE 3610, or permission of instructor.	LPAREN LPAREN COURSE(CEE 3040) OR COURSE(ENGRD 2700) RPAREN AND COURSE(CEE 3610) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CEE 4665	MATH 2940 or equivalent, ability to program in Matlab or Python.	COURSE(MATH 2940) AND COURSE(Special requirement: ability to program in Matlab or Python)	OK (manually corrected)
CEE 4760	CEE 3710 or permission of instructor.	LPAREN COURSE(CEE 3710) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 4930	CEE 3230 and CEE 3040, or equivalent.	COURSE(CEE 3230) AND COURSE(CEE 3040)	OK
CEE 5200	CEE 3040 or ENGRD 2700, CEE 3230 or ENMGT 5940.	LPAREN COURSE(CEE 3040) OR COURSE(ENGRD 2700) RPAREN AND LPAREN COURSE(CEE 3230) OR COURSE(ENMGT 5940) RPAREN	OK (manually corrected)
CEE 5240	Prerequisite or corequisite: enrollment in group-based project with strong system design component approved by course instructor.	COURSE(Special requirement: enrollment in group-based project with strong system design component approved by course instructor)	OK
CEE 5510	CHEM 2090 and CHEM 1570, or permission of instructor.	LPAREN COURSE(CHEM 2090) AND COURSE(CHEM 1570) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 5665	MATH 2940 or equivalent, ability to program in Matlab or Python.	COURSE(MATH 2940) AND COURSE(Special requirement: ability to program in Matlab or Python)	OK (manually corrected)
CEE 5746	CEE 3710 and CEE 3080 or graduate standing.	LPAREN COURSE(CEE 3710) AND COURSE(CEE 3080) RPAREN OR COURSE(Special requirement: graduate standing)	OK (manually corrected)
CEE 5760	CEE 3710 or permission of instructor.	LPAREN COURSE(CEE 3710) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 5770	CEE 4740 or CEE 4760, or permission of instructor.	LPAREN COURSE(CEE 4740) OR COURSE(CEE 4760) RPAREN OR COURSE(Permission: permission of instructor)	OK
CEE 5930	CEE 3040 or equivalent.	COURSE(CEE 3040)	OK
CEE 5980	at least one of the following courses: CEE 3040, ENGRD 2700, ILRST 2100, BTRY 3010, AEM 2100, or equivalent.	COURSE(CEE 3040) OR COURSE(ENGRD 2700) OR COURSE(ILRST 2100) OR COURSE(BTRY 3010) OR COURSE(AEM 2100)	OK
CHEM 2080	CHEM 2070 or CHEM 2090.	COURSE(CHEM 2070) OR COURSE(CHEM 2090)	OK
CHEM 2090	high school chemistry or permission of instructor.	LPAREN COURSE(Special requirement: high school chemistry) RPAREN OR COURSE(Permission: permission of instructor)	OK
CHEM 2770	CHEM 2070 and CHEM 2080.	COURSE(CHEM 2070) AND COURSE(CHEM 2080)	OK
CHEM 2780	CHEM 2070 and CHEM 2080.	COURSE(CHEM 2070) AND COURSE(CHEM 2080)	OK
CHEM 3570	CHEM 2080 or advanced placement, or permission of instructor.	LPAREN COURSE(CHEM 2080) OR COURSE(Special requirement: advanced placement) RPAREN OR COURSE(Permission: permission of instructor)	OK
CHEM 3580	CHEM 3570 or permission of instructor.	LPAREN COURSE(CHEM 3570) RPAREN OR COURSE(Permission: permission of instructor)	OK
CHEM 3600	CHEM 3590 or permission of instructor.	LPAREN COURSE(CHEM 3590) RPAREN OR COURSE(Permission: permission of instructor)	OK
CHEM 3870	CHEM 2080, MATH 1110 and MATH 1120, and PHYS 2208, or permission of instructor.	LPAREN COURSE(CHEM 2080) AND COURSE(MATH 1110) AND COURSE(MATH 1120) AND COURSE(PHYS 2208) RPAREN OR COURSE(Permission: permission of instructor)	OK
CHEM 3890	CHEM 2080 and PHYS 2208, and CHEM 3890, and MATH 1920, MATH 2220 or MATH 2310, or permission of instructor.	LPAREN COURSE(CHEM 2080) AND COURSE(PHYS 2208) AND LPAREN COURSE(MATH 1920) OR COURSE(MATH 2220) OR COURSE(MATH 2310) RPAREN RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CHEM 4210	CHEM 3030 and CHEM 3890-CHEM 3900 or CHEM 3870-CHEM 3880 and CHEM 2900 with average of B- or better, or permission of instructor.	LPAREN COURSE(CHEM 3030) AND LPAREN LPAREN COURSE(CHEM 3890) AND COURSE(CHEM 3900) RPAREN OR LPAREN COURSE(CHEM 3870) AND COURSE(CHEM 3880) RPAREN RPAREN AND COURSE(CHEM 2900) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CHEM 4330	CHEM 3030 and CHEM 3900 with average of B- or better or permission of instructor.	LPAREN COURSE(CHEM 3030) AND COURSE(CHEM 3900) RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CHEM 4500	CHEM 3570-CHEM 3580, or CHEM 3590-CHEM 3600 or equivalent.	LPAREN COURSE(CHEM 3570) AND COURSE(CHEM 3580) RPAREN OR LPAREN COURSE(CHEM 3590) AND COURSE(CHEM 3600) RPAREN	OK (manually corrected)
CHEM 4610	CHEM 3020 and CHEM 3580 or CHEM 3600 with grade of B- or better or permission of instructor.	LPAREN COURSE(CHEM 3020) AND LPAREN COURSE(CHEM 3580) OR COURSE(CHEM 3600) RPAREN RPAREN OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CHEM 4770	CHEM 3900 with average of B- or better or permission of instructor.	COURSE(CHEM 3900) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CHEM 5120	CHEM 5110.	COURSE(CHEM 5110)	OK
CHEME 2880	CHEM 2080, CHEM 2090, and MATH 2930.	COURSE(CHEM 2080) AND COURSE(CHEM 2090) AND COURSE(MATH 2930)	OK
CHEME 3130	CHEME 2200.	COURSE(CHEME 2200)	OK
CHEME 3240	CHEME 3230.	COURSE(CHEME 3230)	OK
CHEME 4320	CHEME 3230, CHEME 3240, CHEME 3320, CHEME 3720, and CHEME 3900.	COURSE(CHEME 3230) AND COURSE(CHEME 3240) AND COURSE(CHEME 3320) AND COURSE(CHEME 3720) AND COURSE(CHEME 3900)	OK
CHEME 4840	CHEME 3900 or permission of instructor.	LPAREN COURSE(CHEME 3900) RPAREN OR COURSE(Permission: permission of instructor)	OK
CHEME 5310	CHEME 3130, CHEME 3900, and CHEME 3240 or equivalent.	COURSE(CHEME 3130) AND COURSE(CHEME 3900) AND COURSE(CHEME 3240)	OK
CHEME 5320	MSE 2060, MSE 3030. Corequisite: MSE 3040 or equivalent background.	COURSE(MSE 2060) AND COURSE(MSE 3030)	OK
CHEME 5660	knowledge of programming languages, such as Python, Matlab, Julia and mathematical and computing topics, such as probability, statistics, optimization, and data science tools, such as Jupyter notebooks, DataFrames, etc.	COURSE(Special requirement: knowledge of programming and math/stats)	OK (manually corrected)
CHEME 5800	CS 1110 or CS 1112 or equivalent.	COURSE(CS 1110) OR COURSE(CS 1112)	OK
CHEME 5990	medical and industrial biotechnology trainees.	COURSE(Special requirement: medical or industrial biotechnology trainees)	OK (manually corrected)
CHIN 1123	grade of B- in CHIN 1122, or permission of instructor.	COURSE(CHIN 1122) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CHIN 2201	CHIN 1102 with grade of B- or above, or equivalent as determined through placement exam and permission of instructor.	COURSE(CHIN 1102) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CHIN 2209	a grade of B in CHIN 1110 or equivalent as determined through placement test.	COURSE(CHIN 1110)	OK (manually corrected)
CHIN 3301	grade of B+ or higher in CHIN 2202, or equivalent as determined through placement exam.	COURSE(CHIN 2202)	OK (manually corrected)
CHIN 3351	CHIN 2202 or equivalent.	COURSE(CHIN 2202)	OK
CHIN 4411	grade of B+ or higher in CHIN 3302, or equivalent as determined through placement exam.	COURSE(CHIN 3302)	OK (manually corrected)
CHIN 4427	CHIN 2210 or CHIN 4412 with a grade of B+ or above, or equivalent as determined by instructor.	COURSE(CHIN 2210) OR COURSE(CHIN 4412)	OK (manually corrected)
CHIN 4451	CHIN 3302 or equivalent.	COURSE(CHIN 3302)	OK
CHIN 4453	CHIN 2210 or CHIN 4412 or equivalent as determined by instructor.	COURSE(CHIN 2210) OR COURSE(CHIN 4412)	OK (manually corrected)
CHLIT 3307	Advanced reading knowledge of classical and modern Chinese required.	COURSE(Special requirement: Advanced reading knowledge of classical and modern Chinese)	OK (manually corrected)
CLASS 1452	HIERO 1451 or permission of instructor.	LPAREN COURSE(HIERO 1451) RPAREN OR COURSE(Permission: permission of instructor)	OK
CLASS 2351	SANSK 1132 or permission of instructor.	LPAREN COURSE(SANSK 1132) RPAREN OR COURSE(Permission: permission of instructor)	OK
CLASS 3395	two years study of Sanskrit or equivalent.	COURSE(Special requirement: two years study of Sanskrit)	OK
CLASS 3664	at least one previous course in philosophy at the 2000 level or above, or permission of the instructor.	COURSE(Special requirement: one previous course in philosophy at 2000 level or above) OR COURSE(Permission: permission of the instructor)	OK (manually corrected)
CLASS 4662	at least one prior course in philosophy.	COURSE(Special requirement: one prior course in philosophy)	OK
CLASS 4754	some previous background in archaeology, material culture studies, ancient history, or related fields.	COURSE(Special requirement: background in archaeology/material culture/ancient history)	OK (manually corrected)
COGST 3190	at least one of the following: HD 1130 , PSYCH 1101, or PSYCH 2650.	COURSE(HD 1130) OR COURSE(PSYCH 1101) OR COURSE(PSYCH 2650)	OK
COGST 3210	Recommended prerequisite: an introductory course in human development and at least one introductory course in behavioral neuroscience or biological basis of behavior.	COURSE(Special requirement: introductory course in human development or behavioral neuroscience)	OK (manually corrected)
COGST 3240	PSYCH 2230 or BIONB 2220.	COURSE(PSYCH 2230) OR COURSE(BIONB 2220)	OK
COGST 4250	HD 1130 or PSYCH 1101, also HD 2830 and HD 5750 and HD 5760.	LPAREN COURSE(HD 1130) OR COURSE(PSYCH 1101) RPAREN AND COURSE(HD 2830) AND COURSE(HD 5750)	OK (manually corrected)
COGST 4265	HD 1130 or PSYCH 1101 and HD 2600.	LPAREN COURSE(HD 1130) OR COURSE(PSYCH 1101) RPAREN AND COURSE(HD 2600)	OK (manually corrected)
COGST 4710	enrollment in an independent research course either in Cognitive Science (e.g.,COGST 4700) or in a related department or in honors thesis research in one of the departments relevant to Cognitive Science.	COURSE(COGST 4700) OR COURSE(Special requirement: independent research in related department)	OK (manually corrected)
COLLS 4990	two approved College Scholar seminars.	COURSE(Special requirement: two approved College Scholar seminars)	OK
COLLS 4991	COLLS 4990.	COURSE(COLLS 4990)	OK
COML 4940	COML 4930.	COURSE(COML 4930)	OK
COMM 2310	COMM 1101 and 3 credits of college-level writing courses; summer only: grade of B or better in a 3-credit college writing course.	COURSE(COMM 1101) AND COURSE(Special requirement: 3 credits of college-level writing courses)	OK (manually corrected)
COMM 3020	completion at least one college-level writing course.	COURSE(Special requirement: completion at least one college-level writing course)	OK
COMM 3050	an A- or better in COMM 2310 or equivalent course, experience with media writing and/or strong writing skills.	COURSE(COMM 2310)	OK (manually corrected)
COMM 3070	COMM 2310 or COMM 2010 or permission of instructor.	LPAREN COURSE(COMM 2310) OR COURSE(COMM 2010) RPAREN OR COURSE(Permission: permission of instructor)	OK
COMM 3760	Prerequisite or corequisite: COMM 2820 or equivalent research methods course, and a course in basic statistics.	LPAREN COURSE(COMM 2820) OR COURSE(Special requirement: research methods course) RPAREN AND COURSE(Special requirement: basic statistics course)	OK (manually corrected)
COMM 4760	COMM 2820.	COURSE(COMM 2820)	OK
CRP 4040	microeconomics course.	COURSE(Special requirement: microeconomics course)	OK
CRP 4930	CRP 4920.	COURSE(CRP 4920)	OK
CRP 5040	microeconomics course.	COURSE(Special requirement: microeconomics course)	OK
CRP 5561	CRP 5560.	COURSE(CRP 5560)	OK
CS 1112	MATH 1110 or equivalent.	COURSE(MATH 1110)	OK
CS 2024	one programming course or equivalent programming experience.	COURSE(Special requirement: one programming course) OR COURSE(Special requirement: programming experience)	OK
CS 2110	CS 1110 or CS 1112 or equivalent course on programming in a procedural language.	COURSE(CS 1110) OR COURSE(CS 1112) OR COURSE(Special requirement: course on programming in a procedural language)	OK
CS 2112	excellent performance in CS 1110, CS 1112 or equivalent course in Java or C++, or permission of instructor.	LPAREN COURSE(CS 1110) OR COURSE(CS 1112) OR COURSE(Special requirement: course in Java) OR COURSE(Special requirement: C++) RPAREN OR COURSE(Permission: permission of instructor)	OK
CS 2800	MATH 1110 or equivalent, CS 1110 or CS 1112 or equivalent., or	COURSE(MATH 1110) AND LPAREN COURSE(CS 1110) OR COURSE(CS 1112) RPAREN	OK (manually corrected)
CS 3110	CS 2110 or equivalent programming experience. Prerequisite or corequisite: CS 2800.	COURSE(CS 2110) OR COURSE(Special requirement: programming experience)	OK
CS 3410	CS 2110 or equivalent programming experience.	COURSE(CS 2110) OR COURSE(Special requirement: programming experience)	OK
CS 3700	CS 2110/ENGRD 2110 and CS 2800, or by permission of instructor.	LPAREN COURSE(CS 2110) OR COURSE(ENGRD 2110) RPAREN AND COURSE(CS 2800)	OK (manually corrected)
CS 3780	probability theory (e.g. BTRY 3080, CS 2800, ECON 3130, ENGRD 2700, MATH 4710) and linear algebra (e.g. MATH 2210, MATH 2310, MATH 2940), single-variable calculus (e.g. MATH 1110, MATH 1920) and programming proficiency (e.g. CS 2110).	LPAREN COURSE(BTRY 3080) OR COURSE(CS 2800) OR COURSE(ECON 3130) OR COURSE(ENGRD 2700) OR COURSE(MATH 4710) RPAREN AND LPAREN COURSE(MATH 2210) OR COURSE(MATH 2310) OR COURSE(MATH 2940) RPAREN AND LPAREN COURSE(MATH 1110) OR COURSE(MATH 1920) RPAREN AND COURSE(CS 2110)	OK (manually corrected)
CS 4110	CS 3110 or permission of instructor.	LPAREN COURSE(CS 3110) RPAREN OR COURSE(Permission: permission of instructor)	OK
CS 4210	MATH 2210, MATH 2230-MATH 2240, MATH 2310, or MATH 2940 or equivalent and one additional mathematics course numbered 3000 or above.	LPAREN COURSE(MATH 2210) OR COURSE(MATH 2230) OR COURSE(MATH 2310) OR COURSE(MATH 2940) RPAREN AND COURSE(Special requirement: one additional mathematics course 3000+)	OK (manually corrected)
CS 4320	CS 2110, CS 2800.	COURSE(CS 2110) AND COURSE(CS 2800)	OK
CS 4414	CS 2110, CS 3410, or equivalent.	COURSE(CS 2110) AND COURSE(CS 3410)	OK (manually corrected)
CS 4420	ECE 3140/CS 3420 or CS 3410. Students should feel comfortable working with a hardware description language such as Verilog, SystemVerilog, or VHDL.	COURSE(ECE 3140) OR COURSE(CS 3420) OR COURSE(CS 3410)	OK
CS 4620	CS 2110 or ENGRD 2110, and MATH 1910 or MATH 1120, and MATH 2940 or MATH 2210 or MATH 2310 or equivalent.	LPAREN COURSE(CS 2110) OR COURSE(ENGRD 2110) RPAREN AND LPAREN COURSE(MATH 1910) OR COURSE(MATH 1120) RPAREN AND LPAREN COURSE(MATH 2940) OR COURSE(MATH 2210) OR COURSE(MATH 2310) RPAREN	OK (manually corrected)
CS 4621	Prerequisite or corequisite: CS 4620.	COURSE(CS 4620)	OK
CS 4701	at least one of the following courses: CS 3700, CS 3780, CS 4670, CS 4740, ECE 4200, ORIE 3741, STSCI 3740, or their equivalents.	COURSE(CS 3700) OR COURSE(CS 3780) OR COURSE(CS 4670) OR COURSE(CS 4740) OR COURSE(ECE 4200) OR COURSE(ORIE 3741) OR COURSE(STSCI 3740)	OK
CS 4750	CS 1112, CS 2110, CS 2800, MATH 1920, MATH 2940 or their equivalents.	LPAREN COURSE(CS 1112) OR COURSE(CS 2110) RPAREN AND COURSE(CS 2800) AND COURSE(MATH 1920) AND COURSE(MATH 2940)	OK (manually corrected)
CS 4775	BTRY 3010 and CS 2110 or equivalents.	COURSE(BTRY 3010) AND COURSE(CS 2110)	OK
CS 4787	CS 3780/CS 5780, CS 2110 or equivalents.	LPAREN COURSE(CS 3780) OR COURSE(CS 5780) RPAREN AND COURSE(CS 2110)	OK (manually corrected)
CS 4820	CS 2800, CS 3110.	COURSE(CS 2800) AND COURSE(CS 3110)	OK
CS 4830	CS 4820.	COURSE(CS 4820)	OK
CS 5110	CS 3110 or permission of instructor.	LPAREN COURSE(CS 3110) RPAREN OR COURSE(Permission: permission of instructor)	OK
CS 5112	A strong foundation in programming, typically demonstrated by successful completion of basic undergraduate-level computer science courses.	COURSE(Special requirement: strong foundation in programming)	OK (manually corrected)
CS 5154	graduate standing in CS, or CS majors who have taken CS 3110 or CS 4120, or permission of instructor.	COURSE(CS 3110) OR COURSE(CS 4120) OR COURSE(Permission: permission of instructor)	OK (manually corrected)
CS 5306	advanced coursework in Computer Science.	COURSE(Special requirement: advanced coursework in Computer Science)	OK
CS 5320	CS 2110 or CS 2800.	COURSE(CS 2110) OR COURSE(CS 2800)	OK
CS 5414	CS 4410 or permission of instructor.	LPAREN COURSE(CS 4410) RPAREN OR COURSE(Permission: permission of instructor)	OK
CS 5416	CS 2110, CS 3410, or equivalent.	COURSE(CS 2110) OR COURSE(CS 3410)	OK
CS 5424	CS 1110 or equivalent.	COURSE(CS 1110)	OK
CS 5620	CS 2110 or ENGRD 2110, and MATH 1910 or MATH 1120, and MATH 2940 or MATH 2210 or MATH 2310 or equivalent.	LPAREN COURSE(CS 2110) OR COURSE(ENGRD 2110) RPAREN AND LPAREN COURSE(MATH 1910) OR COURSE(MATH 1120) RPAREN AND LPAREN COURSE(MATH 2940) OR COURSE(MATH 2210) OR COURSE(MATH 2310) RPAREN	OK (manually corrected)
CS 5621	Prerequisite or corequisite: CS 5620.	COURSE(CS 5620)	OK
CS 5650	intermediate programming ability in C# or other object-oriented lagnuages. Familiarity with 3D game engines or strong desire to learn. Basic linear algebra.	COURSE(Special requirement: intermediate programming ability in C#) OR COURSE(Special requirement: other object-oriented lagnuages)	OK
CS 5670	CS 2110, CS 2800, MATH 1920 or equivalent and MATH 2310 or MATH 2940 or equivalent (Ithaca only).	COURSE(CS 2110) AND COURSE(CS 2800) AND COURSE(MATH 1920) AND LPAREN COURSE(MATH 2310) OR COURSE(MATH 2940) RPAREN	OK (manually corrected)
CS 5750	CS 1112, CS 2110, CS 2800, MATH 1920, MATH 2940 or their equivalents.	COURSE(CS 1112) OR COURSE(CS 2110) OR COURSE(CS 2800) OR COURSE(MATH 1920) OR COURSE(MATH 2940)	OK
CS 5777	CS 3780/CS 5780, CS 2110 or equivalents.	COURSE(CS 3780) OR COURSE(CS 5780) OR COURSE(CS 2110)	OK
